Time _h,Biological_replicate,Plate_replicate,Assay,Num_colonies_LB_CTX_or_LB_CTX_NAL,Num_colonies_LB_CAM,Num_colonies_LB_CTX_CAM,CFU_ml_dilution_factor_LB_CTX_or_LB_CTX_NAL,CFU_ml_dilution_factor_LB_CAM,CFU_ml_dilution_factor_LB_CTX_CAM,CFU_ml_LB_CTX_or_LB_CTX_NAL,CFU_ml_Donor_minus_CFU_ml_Transconjugant,CFU_ml_LB_CAM,CFU_ml_Recipient_minus_CFU_ml_Transconjugant,CFU_ml_LB_CTX_CAM_Transconjugant
0,1,1,DRT,153,228,0,10000,10000,20,1530000,1530000,2280000,2280000,0
0,1,2,DRT,178,196,N/A,10000,10000,20,1780000,1780000,1960000,1960000,N/A
4,1,1,DRT,69,104,227,4000000,1000000,200,276000000,275954600,104000000,103954600,45400
4,1,2,DRT,56,114,138,4000000,1000000,200,224000000,223972400,114000000,113972400,27600
24,1,1,DRT,79,110,295,4000000,1000000,200,316000000,315941000,110000000,109941000,59000
24,1,2,DRT,44,45,145,10000000,2000000,400,440000000,439942000,90000000,89942000,58000
0,2,1,DRT,95,130,0,10000,10000,20,950000,950000,1300000,1300000,0
0,2,2,DRT,83,106,N/A,10000,10000,20,830000,830000,1060000,1060000,N/A
4,2,1,DRT,61,180,411,4000000,1000000,200,244000000,243917800,180000000,179917800,82200
4,2,2,DRT,61,198,372,4000000,1000000,200,244000000,243925600,198000000,197925600,74400
24,2,1,DRT,88,123,305,4000000,1000000,200,352000000,351939000,123000000,122939000,61000
24,2,2,DRT,48,40,172,10000000,2000000,400,480000000,479931200,80000000,79931200,68800
0,3,1,DRT,78,143,0,10000,10000,20,780000,780000,1430000,1430000,0
0,3,2,DRT,87,148,N/A,10000,10000,20,870000,870000,1480000,1480000,N/A
4,3,1,DRT,77,216,884,4000000,1000000,200,308000000,307823200,216000000,215823200,176800
4,3,2,DRT,63,216,776,4000000,1000000,200,252000000,251844800,216000000,215844800,155200
24,3,1,DRT,162,218,N/A,1000000,4000000,200,648000000,N/A,218000000,N/A,N/A
24,3,2,DRT,79,156,457,2000000,10000000,400,790000000,789817200,312000000,311817200,182800
0,1,1,TRT,211,297,0,10000,10000,20,2110000,N/A,2970000,2970000,0
0,1,2,TRT,207,242,N/A,10000,10000,20,2070000,N/A,2420000,2420000,N/A
4,1,1,TRT,31,83,267,1000000,1000000,1000,31000000,N/A,83000000,82733000,267000
4,1,2,TRT,44,91,209,1000000,1000000,1000,44000000,N/A,91000000,90791000,209000
24,1,1,TRT,98,182,416,1000000,1000000,1000,98000000,N/A,182000000,181584000,416000
24,1,2,TRT,41,96,204,2000000,2000000,2000,82000000,N/A,192000000,191592000,408000
0,2,1,TRT,150,172,0,10000,10000,20,1500000,N/A,1720000,1720000,0
0,2,2,TRT,148,162,N/A,10000,10000,20,1480000,N/A,1620000,1620000,N/A
4,2,1,TRT,125,107,286,1000000,1000000,2000,125000000,N/A,107000000,106428000,572000
4,2,2,TRT,115,109,309,1000000,1000000,2000,115000000,N/A,109000000,108382000,618000
24,2,1,TRT,136,162,716,1000000,1000000,1000,136000000,N/A,162000000,161284000,716000
24,2,2,TRT,58,79,415,2000000,2000000,2000,116000000,N/A,158000000,157170000,830000
0,3,1,TRT,142,246,0,10000,10000,20,1420000,N/A,2460000,2460000,0
0,3,2,TRT,130,230,N/A,10000,10000,20,1300000,N/A,2300000,2300000,N/A
4,3,1,TRT,454,928,1952,1000000,1000000,2000,454000000,450096000,928000000,924096000,3904000
4,3,2,TRT,512,840,1788,1000000,1000000,2000,512000000,508424000,840000000,836424000,3576000
24,3,1,TRT,39,47,792,1000000,1000000,2000,39000000,N/A,47000000,45416000,1584000
24,3,2,TRT,20,38,460,2000000,2000000,4000,40000000,N/A,76000000,74160000,1840000
